Tube_Id;Tube_Wt_g;Surf_Area_mm2;Total_cells;NeuN_Percent;Total_Neurons;Cell_Dens_Wt;Cell_Dens_SA;Neu_Dens_Wt;Neu_Dens_SA
30;0.3154;115.3;43265625;66.09;28592935.00;137176997;375244;90656103;247987
31;0.2588;118.4;29742188;54.63;16248047.00;114923447;251201;62782252;137230
32;0.3565;115.9;38671875;50.9;19682460.00;108476508;333666;55210266;169823
33;0.3111;113.6;36070313;54.82;19772763.00;115944433;317520;63557578;174056
34;0.4693;146.6;43421875;60.34;26198673.00;92524771;296193;55825001;178709
35;0.4047;145;37007813;50.55;18707993.00;91445053;255226;46226819;129021
36;0.4133;168;32390625;29.47;9544199.00;78370736;192801;23092666;56811
37;0.3126;148.8;31363281;52.81;16563911.00;100330393;210775;52987559;111317
38;0.3736;136.4;40382813;47.09;19015879.00;108091041;296062;50899034;139413
39;0.3792;131;41890625;47.17;19759729.00;110471057;319776;52108989;150838
40;0.5459;164.7;37652344;31.14;11724484.00;68972969;228612;21477348;71187
41;0.3348;151.3;41507813;57.89;24030839.00;123977936;274341;71776699;158829
42;0.2595;129.3;32179688;58.22;18733979.00;124006505;248876;72192597;144888
43;0.3102;121.3;34945313;46.05;16091656.00;112654136;288090;51875100;132660
44;0.2779;145.3;30515625;52.73;16090057.00;109807935;210018;57898729;110737
45;0.2209;112;24023438;58.26;13996619.00;108752549;214495;63361790;124970
46;0.3522;129.9;43382813;59.02;25602971.00;123176641;333971;72694410;197098
47;0.4202;131;44000000;58.78;25862595.00;104712042;335878;61548299;197424
48;0.4369;167.8;43437500;43.76;19008089.00;99422065;258865;43506728;113278
49;0.4452;153.1;42843750;48.42;20745395.00;96234838;279842;46597922;135502
50;0.3348;115.6;31281250;54.78;17135685.00;93432646;270599;51181854;148233
51;0.3737;124.7;35312500;45.29;15992980.00;94494247;283180;42796307;128252
52;0.386;129.6;38218750;43.9;16778963.00;99012306;294898;43468817;129467
53;0.2578;115.3;23695313;40.1;9502595.00;91913549;205510;36860338;82416
54;0.4117;143.9;33476563;48.35;16185755.00;81313002;232638;39314441;112479
55;0.4212;130;38562500;43.28;16690227.00;91553894;296635;39625420;128386
56;0.3656;161.4;32648438;49.25;16077815.00;89300979;202283;43976519;99615
57;0.2973;137.9;26109375;41.07;10723493.00;87821645;189336;36069604;77763
58;0.3518;136.1;31226563;40.27;12573757.00;88762260;229438;35741209;92386
59;0.398;190.8;39804688;48.28;19216056.00;100011779;208620;48281548;100713
60;0.7902;220.6;54437500;26.37;14356084.00;68890787;246770;18167659;65077
61;0.2567;105;26343750;54.51;14360497.00;102624659;250893;55942724;136767
62;0.3315;131.7;34437500;65.09;22416863.00;103883861;261484;67622513;170212
63;0.1953;75.3;19804688;67.13;13295455.00;101406493;263010;68077084;176566
64;0.3204;113.2;30984375;63.64;19717330.00;96705290;273714;61539730;174181
65;0.5244;163.9;38800781;48.79;18928979.00;73990810;236734;36096452;115491
66;0.4303;144.9;39140625;50.87;19909682.00;90961248;270122;46269305;137403
67;0.1747;66.4;13015625;56.11;7302660.00;74502719;196018;41801144;109980
68;0.5309;193.8;32882813;42.91;14110877.00;61937866;169674;26579161;72812
69;0.4646;196.7;34031250;41.99;14290466.00;73248493;173011;30758645;72651
70;0.3112;138.3;21109375;54.29;11460579.00;67832182;152635;36827053;82868
71;0.3847;124.2;30312500;58.8;17824604.00;78795165;244062;46333777;143515
72;0.3462;113.6;30445313;41.05;12497978.00;87941401;268005;36100458;110017
73;0.3175;97.8;27773438;39.9;11080594.00;87475395;283982;34899509;113299
74;0.2428;97.1;22476563;42.19;9483605.00;92572335;231479;39059330;97668
75;0.2468;98;23964844;54.43;13044155.00;97102285;244539;52853142;133104
76;0.1773;62.2;16390625;57.74;9464168.00;92445713;263515;53379401;152157
77;0.37;135.9;26601563;39.51;10511104.00;71896116;195744;28408390;77344
78;0.2396;83.6;19734375;50.92;10047785.00;82363836;236057;41935663;120189
79;0.4083;116;36914063;44.59;16461677.00;90409167;318225;40317601;141911
80;0.2743;105.8;24000000;51.68;12403960.00;87495443;226843;45220417;117240
